"vst.mean"	"vst.variance"	"vst.variance.expected"	"vst.variance.standardized"	"vst.variable"
"2871"	0.993	1.40835935935936	2.12765806793268	0.661929367592309	0
"3452"	0.972	1.26848448448448	1.91438491751498	0.662606810615221	0
"2806"	0.982	1.33300900900901	1.99716265620782	0.667451399046344	0
"4110"	0.986	1.35315715715715	2.04053558400652	0.663138230846372	0
"4666"	0.976	1.35077477477478	1.93926609067822	0.69653916049363	0
"4816"	0.977	1.31979079079079	1.94815322145631	0.677457386952452	0
"3601"	0.985	1.33811311311311	2.02931960586645	0.65939002867998	0
"4136"	0.974	1.30262662662663	1.9248735544064	0.676733608628296	0
"2767"	0.995	1.4143893893894	2.15289569234939	0.656970699702554	0
"4812"	0.999	1.52852752752752	2.20230487294716	0.694058096271668	0
"3013"	1.001	1.48448348348348	2.22782966252845	0.666336169435275	0
"4737"	0.987	1.38221321321322	2.05221498758895	0.673522619010356	0
"4933"	0.93	1.12422422422423	1.6907634884466	0.664921044194722	0
"3402"	1.019	1.52416316316316	2.44766068090422	0.62270198441072	0
"3010"	0.988	1.3572132132132	2.06428147224683	0.657474879981353	0
"2952"	0.974	1.32865265265265	1.9248735544064	0.690254510282562	0
"2966"	0.969	1.31335235235235	1.89901520921893	0.691596542237564	0
"3401"	0.981	1.27391291291291	1.98683396766371	0.641177337234119	0
"2946"	0.979	1.31387287287288	1.96691657433647	0.667986070185055	0
"4787"	0.977	1.20968068068068	1.94815322145631	0.620937135415051	0
"3825"	0.995	1.45042542542544	2.15289569234939	0.673709102851437	0
"3991"	0.973	1.31558658658658	1.91934124611732	0.685436521123025	0
"4008"	1.01	1.56546546546546	2.34299398690021	0.66814745330891	0
"3742"	0.967	1.29720820820821	1.88820986469503	0.687004253321032	0
"4510"	0.977	1.34982082082082	1.94815322145631	0.692872001008108	0
"4876"	0.997	1.54853953953953	2.1773440158944	0.711205729657485	0
"4157"	0.961	1.28276176176177	1.86203780084768	0.68890210562739	0
"3956"	0.967	1.25917017017017	1.88820986469503	0.666859226674759	0
"3468"	0.971	1.25141041041042	1.90960805021767	0.655323174966591	0
"4180"	0.984	1.50925325325326	2.01843168619421	0.74773561254331	0
"4972"	0.955	1.20417917917918	1.82385134234452	0.660239763637336	0
"4499"	0.98	1.41501501501502	1.97674349726153	0.715831374670155	0
"4843"	0.988	1.43128728728728	2.06428147224683	0.693358588220739	0
"3794"	0.971	1.35551451451452	1.90960805021767	0.709839128694497	0
"4121"	0.982	1.45913513513513	1.99716265620782	0.730604055007583	0
"4377"	0.97	1.29439439439439	1.90461583167174	0.679609175178523	0
"4401"	0.955	1.29627127127127	1.82385134234452	0.710732964455836	0
"4416"	0.984	1.27301701701702	2.01843168619421	0.630696112097465	0
"4616"	0.966	1.36020420420421	1.88354513889431	0.722151105442944	0
"4859"	0.981	1.38001901901902	1.98683396766371	0.694581953741091	0
"4147"	0.984	1.38312712712713	2.01843168619421	0.685248421627308	0
"2513"	0.996	1.38937337337337	2.16514833104937	0.641698932793208	0
"4662"	0.993	1.33628728728729	2.12765806793268	0.62805546973329	0
"4512"	0.979	1.35391291291292	1.96691657433647	0.688342825810823	0
"4534"	1.022	1.64516116116116	2.48222626086193	0.662776470904747	0
"4153"	0.981	1.28392292292292	1.98683396766371	0.646215508602701	0
"4821"	1.002	1.58758358358358	2.24072836337419	0.708512289813173	0
"3200"	0.996	1.4194034034034	2.16514833104937	0.655568666150219	0
"4054"	1.04	1.64004004004005	2.69043475916668	0.609581791363716	0
"3708"	0.995	1.37635135135136	2.15289569234939	0.639302385267621	0
"2850"	0.975	1.39777277277278	1.93138082714942	0.723716810855884	0
"3236"	0.969	1.36340240240239	1.89901520921893	0.717952334338163	0
"3048"	0.985	1.31008508508508	2.02931960586645	0.645578489114205	0
"3154"	0.967	1.27318418418418	1.88820986469503	0.67428107859707	0
"2773"	0.948	1.15445045045045	1.76427821908298	0.654347164729212	0
"3839"	0.982	1.36504104104104	1.99716265620782	0.683490168814278	0
"3889"	0.981	1.44007907907908	1.98683396766371	0.724810981952584	0
"4997"	0.957	1.33848948948949	1.83885454929147	0.727893073438145	0
"4303"	0.989	1.35423323323324	2.07665749535328	0.652121611899631	0
"4950"	0.977	1.35782882882883	1.94815322145631	0.696982564756282	0
"3896"	0.972	1.45266866866866	1.91438491751498	0.758817443335453	0
"4739"	0.972	1.22844444444444	1.91438491751498	0.641691455676041	0
"4308"	0.977	1.38185285285285	1.94815322145631	0.709314256000806	0
"4761"	0.967	1.36327427427427	1.88820986469503	0.721992983811928	0
"3489"	0.974	1.25257657657658	1.9248735544064	0.650731874677785	0
"4529"	0.952	1.33903503503503	1.79981613554631	0.743984348506016	0
"3796"	0.959	1.22053953953953	1.85170968379907	0.659141954172541	0
"4277"	0.976	1.37279679679681	1.93926609067822	0.707895014199254	0
"2734"	0.933	1.14765865865866	1.66969063518913	0.68734808381354	0
"2798"	0.948	1.22852452452452	1.76427821908298	0.69633264823905	0
"2639"	0.994	1.45541941941942	2.14036971849935	0.67998505437642	0
"3826"	0.994	1.41537937937938	2.14036971849935	0.661277987230976	0
"3966"	0.974	1.34466866866867	1.9248735544064	0.698575065146725	0
"3288"	0.981	1.39603503503504	1.98683396766371	0.702643027930822	0
"3102"	0.998	1.56355955955956	2.18973917563383	0.714039177340371	0
"3711"	0.959	1.21052952952953	1.85170968379907	0.653736133758256	0
"3657"	0.957	1.27242342342342	1.83885454929147	0.691965236681551	0
"2603"	0.997	1.53052152152152	2.1773440158944	0.702930501725432	0
"2885"	0.957	1.2524034034034	1.83885454929147	0.681078013421976	0
"3272"	0.96	1.18958958958959	1.8571338651215	0.64055134200666	0
"4594"	0.983	1.31402502502502	2.00770390222144	0.654491443469884	0
"2981"	1.006	1.6315955955956	2.29250260399509	0.711709375052506	0
"3088"	0.97	1.25835835835836	1.90461583167174	0.660688805287233	0
"3293"	0.999	1.47247147147147	2.20230487294716	0.668604737499846	0
"2814"	0.982	1.44111711711711	1.99716265620782	0.72158224701312	0
"3947"	0.96	1.33573573573574	1.8571338651215	0.719245801728111	0
"4306"	0.97	1.39249249249249	1.90461583167174	0.731114626549257	0
"4709"	0.975	1.31368868868869	1.93138082714942	0.680181075747553	0
"3068"	0.953	1.27606706706707	1.80799200171271	0.705792429312881	0
"3804"	0.969	1.33937837837837	1.89901520921893	0.705301554129875	0
"2852"	0.972	1.36858458458458	1.91438491751498	0.714895197963173	0
"3421"	0.978	1.36287887887888	1.9573782279445	0.696277734891369	0
"3810"	0.981	1.26990890890891	1.98683396766371	0.639162068686686	0
"4033"	0.975	1.39176676676677	1.93138082714942	0.720607115491003	0
"4059"	0.961	1.24672572572573	1.86203780084768	0.669549095704803	0
"3329"	0.981	1.32596496496497	1.98683396766371	0.667375828350746	0
"3429"	0.963	1.29692792792792	1.87083063224787	0.693236418932069	0
"3540"	0.965	1.18696196196196	1.87918616355587	0.631636175798542	0
"3752"	0.972	1.34856456456456	1.91438491751498	0.704437520493584	0
"3162"	0.954	1.34122522522522	1.81594845575885	0.738581109486808	0
"2614"	0.991	1.46638538538539	2.10202127835048	0.697607298502753	0
"3567"	0.99	1.39929929929929	2.08926419145137	0.669756991492412	0
"3878"	0.978	1.36287887887888	1.9573782279445	0.696277734891368	0
"3143"	0.957	1.23638738738739	1.83885454929147	0.672368234814318	0
