"orig.ident"	"nCount_RNA"	"nFeature_RNA"	"phenoid"	"RNA_snn_res.2"	"seurat_clusters"	"ident"	"sizeFactor"	"TSNE_1"	"TSNE_2"
"cell_106"	1	13326	2249	2	18	25	25	0.82124013706196	-0.541968963764404	-1.7045894425466
"cell_107"	1	7874	1647	2	2	2	2	0.490505390212929	-2.61702845983883	2.54976975651587
"cell_108"	1	5344	1273	2	32	10	10	0.321117142884383	0.61691778386778	4.80203539199461
"cell_109"	1	31757	3159	2	17	24	24	1.85960338854605	1.0093055873488	1.31990240106352
"cell_110"	1	14661	2387	2	14	21	21	0.878417363750237	-0.567752354909237	-0.0456662352921226
"cell_111"	1	19099	2677	2	27	5	5	1.14271357266608	-1.24078438791118	1.86766817846227
"cell_112"	1	5136	1211	2	11	19	19	0.304990719540327	3.88418019489352	0.604121999320021
"cell_113"	1	14997	2336	2	27	5	5	0.887236962313872	3.21708600793567	-1.54661740003448
"cell_114"	1	11476	2070	2	8	16	16	0.721004320854428	3.23456600906502	-1.97116065857778
"cell_115"	1	13513	2256	2	9	17	17	0.821345713581811	-0.585228122489181	1.25093307981773
"cell_116"	1	17373	2488	2	6	14	14	1.03817560712297	-1.69438498853008	-2.8551497684452
"cell_117"	1	17871	2607	2	13	3	3	1.1359074993989	-0.0622742415103086	4.18343882582749
"cell_118"	1	17668	2501	2	9	17	17	1.0844063124946	-2.69830726384308	-0.899297153376746
"cell_119"	1	9773	1854	2	2	2	2	0.584049465382755	2.81109379071562	0.371772919024714
"cell_120"	1	20058	2771	2	18	25	25	1.23102698584137	-2.33888537672013	1.68880133992842
"cell_121"	1	9111	1824	2	31	9	9	0.576124878363363	3.32580343901291	-0.294219755189527
"cell_122"	1	19350	2722	2	9	17	17	1.16229587436694	-0.39489281299334	1.76444745052669
"cell_123"	1	18764	2702	2	4	12	12	1.15247116186693	-0.157686144854112	2.30280969197108
"cell_124"	1	7771	1662	2	24	4	4	0.514608799294594	-0.836064681893588	2.48842865870152
"cell_125"	1	12783	2205	2	28	6	6	0.826216805023831	3.06564720070908	-1.93956097204678
"cell_126"	1	16925	2512	2	27	5	5	1.04693201617101	-5.38193003698655	0.666668048111013
"cell_127"	1	20613	2702	2	18	25	25	1.29407520061382	-1.59814327053294	0.423373033968054
"cell_128"	1	26131	2979	2	19	26	26	1.63020654692895	0.369174040265142	-0.772075126966328
"cell_129"	1	9594	1842	2	28	6	6	0.597850299651782	0.818516936013079	-2.37009517044428
"cell_130"	1	23077	2904	2	28	6	6	1.45494283361856	2.43298047072076	-1.01758394947467
"cell_131"	1	16786	2509	2	1	1	1	0.944704384419374	-2.45922410429922	-2.2056880663184
"cell_132"	1	19914	2675	2	14	21	21	1.18431448085417	-1.12117691659725	-0.698218083315178
"cell_133"	1	14778	2360	2	30	8	8	0.887000722749496	-4.75315430301889	2.05615098011706
"cell_134"	1	11391	2036	2	11	19	19	0.676183007318934	-1.6893256951324	-3.98571976813591
"cell_135"	1	8954	1749	2	4	12	12	0.534057981718322	2.48399377315406	-2.57291680134206
"cell_136"	1	10181	1881	2	3	11	11	0.623633497145747	1.02548897991352	-4.69526448602386
"cell_137"	1	18873	2672	2	2	2	2	1.24127152835073	1.8842311011321	-1.26609366274483
"cell_138"	1	17962	2575	2	32	10	10	1.11476241024195	0.266739835270462	0.38473585191432
"cell_139"	1	5154	1273	2	27	5	5	0.335185868109726	-2.1719367145673	3.6825038873179
"cell_140"	1	6695	1512	2	13	3	3	0.416765987667711	3.94644335223846	-0.0984288957513608
"cell_141"	1	17409	2510	2	28	6	6	1.09160367390436	1.22046895857923	-1.29548513728601
"cell_142"	1	16135	2382	2	32	10	10	0.906872587464827	-1.36103443050216	0.570389958417017
"cell_143"	1	18076	2650	2	28	6	6	1.08042991225418	1.26882797932183	-1.47327374281659
"cell_144"	1	10821	1967	2	14	21	21	0.689693723619556	-2.76452106018294	4.12755331594198
"cell_145"	1	7912	1661	2	21	28	28	0.501333349399129	3.10100936561719	-0.850866562316775
"cell_146"	1	24217	2926	2	8	16	16	1.5138803667654	-1.02568778253221	1.37413957788767
"cell_147"	1	19218	2662	2	4	12	12	1.13879624740362	-0.644100167411773	1.6896022293968
"cell_148"	1	17820	2581	2	6	14	14	1.11540618265229	-3.02364990359052	-0.153720288236164
"cell_149"	1	18094	2600	2	13	3	3	1.09833958214385	2.14713393475995	0.847226615379399
"cell_150"	1	31230	3252	2	28	6	6	1.86924548430564	0.714826983634711	-1.05427201782145
"cell_151"	1	20324	2768	2	13	3	3	1.28592976913566	1.86282299150337	0.966857712877178
"cell_152"	1	15412	2429	2	21	28	28	0.974287373854962	0.74145726851534	-1.05130872018681
"cell_153"	1	12238	2152	2	13	3	3	0.736856015258513	3.18761814872482	-0.0261090380593998
"cell_154"	1	13104	2247	2	28	6	6	0.809299514058254	2.03764295870737	1.06148982790484
"cell_155"	1	13723	2256	2	6	14	14	0.85134232288288	-1.18238483416678	2.01107372724144
"cell_156"	1	21273	2712	2	2	2	2	1.22727243036462	2.0411924281788	-1.57276901958073
"cell_157"	1	19562	2726	2	9	17	17	1.27531523372058	-2.83910161232127	-2.05342185023792
"cell_158"	1	20886	2804	2	15	22	22	1.29213969052075	-2.65403291491184	-3.2911447994529
"cell_159"	1	5247	1160	2	3	11	11	0.325489059952463	-1.58631703635505	-4.10132668059294
"cell_160"	1	19203	2680	2	24	4	4	1.16086642086981	0.346323393226051	0.358296072377132
"cell_161"	1	14597	2310	2	5	13	13	0.885012722534255	1.44129154994489	-0.43556379414159
"cell_162"	1	20690	2742	2	32	10	10	1.25111218771705	0.73959776009878	-0.577045942874292
"cell_163"	1	12989	2248	2	1	1	1	0.847061944198703	3.73979252961146	3.13921934062493
"cell_164"	1	18046	2620	2	27	5	5	1.09339833773385	1.2095118810504	0.46640836348948
"cell_165"	1	10471	1944	2	14	21	21	0.66161718094562	3.3462671191718	-2.27058579686745
"cell_166"	1	6387	1375	2	1	1	1	0.386604783312093	0.659267155609111	-0.956991984960234
"cell_167"	1	14539	2326	2	15	22	22	0.939805095118697	-1.35574534690458	-3.5962627845839
"cell_168"	1	22055	2810	2	10	18	18	1.35161274657691	-1.03940944225328	0.629898763357134
"cell_169"	1	16515	2478	3	2	2	2	1.0250781939096	4.38386230032873	-1.574020668111
"cell_170"	1	5412	1279	3	29	7	7	0.351227804539524	-4.32932538870125	1.45300624148052
"cell_171"	1	22742	2856	3	13	3	3	1.41154658196189	0.981249579165505	3.53346570489837
"cell_172"	1	17613	2555	3	30	8	8	1.12561612813139	3.76980797384383	-0.543490033509474
"cell_173"	1	17378	2514	3	4	12	12	1.06884769993555	-0.632506996927954	1.41231496900434
"cell_174"	1	4316	1109	3	29	7	7	0.284594139301525	0.364521705879007	2.78625414604309
"cell_175"	1	21408	2834	3	5	13	13	1.35135435063832	0.110937859934307	-0.526029919828229
"cell_176"	1	21350	2821	3	21	28	28	1.26315162686675	-0.392751067131856	-0.430542797191978
"cell_177"	1	14370	2318	3	17	24	24	0.906314082120048	1.66545572767894	-1.01503924557347
"cell_178"	1	16868	2563	3	5	13	13	1.04506018073591	-2.52144243780021	-0.22864059994269
"cell_179"	1	6835	1580	3	14	21	21	0.438407636088216	1.45349364766611	3.49105126909271
"cell_180"	1	14340	2358	3	6	14	14	0.889716915639117	-2.81115679864094	-4.07909025074405
"cell_181"	1	14229	2261	3	20	27	27	0.853079426667027	-0.857628708832355	-0.44028223594801
"cell_182"	1	12777	2226	3	27	5	5	0.786066305399334	-1.00987586606825	3.41867696114237
"cell_183"	1	13178	2248	3	6	14	14	0.801535906650235	-0.604350789619214	-3.35753519073316
"cell_184"	1	19736	2732	3	2	2	2	1.22974366848078	1.96533372002377	-3.77402808756192
"cell_185"	1	1968	646	3	17	24	24	0.126282535845777	-3.94829319093737	-1.69435001448732
"cell_186"	1	12735	2168	3	3	11	11	0.771599274749485	-2.74935721284087	-1.55454561186442
"cell_187"	1	14578	2375	3	3	11	11	0.907053224365742	-1.6492355275353	2.18277696561288
"cell_188"	1	22882	2886	3	27	5	5	1.34588324898866	-4.06232467496816	1.71491440554178
"cell_189"	1	21989	2841	3	16	23	23	1.37186029242505	-1.35538777391601	-0.947951495641385
